ANSWER,QUESTION.question,QUESTION.paragraph
Zero,What percentage does clogging affect in rain gun irrigation?,"In Rain Gun, there is no clogging problem irrespective of the quality of water."
Rs. 2000,What is the average price of a single rain gun piece?,Low price of rain gun: Average price of one piece of rain gun is near about Rs. 2000.
Rain gun irrigation,Which irrigation method has less maintenance?,Less Maintenance
"Sugarcane, pulses, oil seeds, cereals, tea, coffee, cardamom, vegetables like Onion, cabbage, potato, cauliflower, carrot, beet root, tapioca, ground nut.",What field crops are recommended for rain gun use?,"Recommended for field crops like sugarcane, pulses, oil seeds, cereals, tea, coffee, cardamom, etc., vegetables like Onion, cabbage, potato, cauliflower, carrot, beet root, tapioca, etc. and ground nut etc."
It varies in shape and design.,What does the nozzle in the provided rain gun figure look like?,Fig. 5.12: Different types rain nozzles
"January, 2006",When was the Centrally Sponsored Scheme on Micro Irrigation introduced?,"A Centrally Sponsored Scheme on Micro Irrigation was introduced in January, 2006."
Easy intercultural operation,What type of intercultural operation does rain gun irrigation facilitate?,"An intercultural operation in a drip field is a task, whereas it is easy in rain gun irrigation."
"Large turfs, lawns, and playgrounds",For what type of land is rain gun irrigation useful?,"Useful for large turfs, lawns and playgrounds."
It boosts irrigation efficiency in sugarcane and pulses fields.,How can rain gun irrigation impact fields of sugarcane and pulses?,"Recommended for field crops like sugarcane, pulses, oil seeds, cereals, tea, coffee, cardamom, etc., vegetables like Onion, cabbage, potato, cauliflower, carrot, beet root, tapioca, etc. and ground nut etc."
"Because intercultural operation in a drip field is difficult, but easy in rain gun irrigation.",Why is rain gun prefered over drip system for intercultural operations?,"An intercultural operation in a drip field is a task, whereas it is easy in rain gun irrigation."
A Centrally Sponsored Scheme on Micro Irrigation.,What initiative began in January 2006 for better water use?,"A Centrally Sponsored Scheme on Micro Irrigation was introduced in January, 2006 to increase the area under improved methods of irrigation for better water use."
"The average price of one piece of rain gun is around Rs. 2000, making it affordable.",How affordable is the rain gun for irrigation?,Low price of rain gun : Average price of one piece of rain gun is near about Rs. 2000 (Fig. 5.12)
Rain gun irrigation involves less maintenance compared to other systems.,What is the benefit of using rain gun concerning maintenance?,Less Maintenance
"Additional crops include oil seeds, cereals, tea, coffee, and cardamom.",Which crops benefit from rain gun irrigation besides those already listed?,"Recommended for field crops like sugarcane, pulses, oil seeds, cereals, tea, coffee, cardamom, etc., vegetables like Onion, cabbage, potato, cauliflower, carrot, beet root, tapioca, etc. and ground nut etc."
It has no clogging problem regardless of water quality.,What feature of rain gun irrigation addresses water quality issues?,"In Rain Gun, there is no clogging problem irrespective of the quality of water."
National Mission on Micro Irrigation,What is the full form of NMMI?,"Government of India has, therefore, decided to impart further thrust to this scheme by implementing it in a mission mode as the National Mission on Micro Irrigation (NMMI)."
The National Mission on Micro Irrigation,Under which mission will micro irrigation activities be converged?,"The Mission will help converge micro irrigation activities under major government programs such as Horticulture Mission for North East & Himalayan States (HMNEHS), National Horticulture Mission (NHM), Rashtriya Krishi Vikas Yojana (RKVY), National Food Security Mission (NFSM) etc."
60%,What percentage of cost assistance does the government provide to Small and Marginal farmers?,"In other words, subsidy assistance for Small and Marginal farmers will be @ 60% of the cost of the drip / sprinkler irrigation system and the remaining 40% will have to be borne by the farmer."
Every land holder with land and water source for irrigation.,Define the term 'Beneficiary' under the NMMI scheme.,"The term 'Beneficiary' under the scheme is defined as “every land holder, who possesses own land or leased land for a period of at least the projected life of the irrigation system (10 years) for the purpose of growing crops and who has a water source, either own or shared.”"
Save water and mitigate environmental degradation.,What are two primary benefits of adopting improved methods of irrigation like drip and sprinkler?,"It is expected that adoption of improved methods of irrigation such as drip & sprinkler would not only save water, power, fertilizer consumption, weeding cost, etc. but would also mitigate environmental degradation such as water logging and soil salinity."
Small and Marginal farmers.,What types of farmers are included in the subsidy assistance of the NMMI Scheme?,"Expenditure on the implementation of NMMI Scheme will be shared in the ratio of 50:10:40 between Central Government, State Government and the beneficiary in case of Small and Marginal farmers."
By creating integrated water harvesting structures to increase water use efficiency.,How does the NMMI Scheme aim to increase crop productivity and farmers' income?,"The Mission will help converge micro irrigation activities ... to create integrated water harvesting structures for increasing water use efficiency, crop productivity and farmers' income."
